-1.72661334626707	helen graf and heather xi solyariya in five years the outstanding defeats .	海伦·格拉芙和希瑟·斯坦宁在五年中未尝败绩。
-0.9560104888191808	liu yu restricted area before the vicious shovel to grab the violations of the kerry metz , he with the emotion of wang dong in succession received a yellow card .	刘宇禁区前凶狠铲抢侵犯克里梅茨，他与情绪激动的王栋相继领到黄牌。
-0.9366526572046942	in this case , ningbo tao , even if you choose to retire into the entertainment circle at this time , is not only his freedom , but also a plausible path .	在这种情况下，宁泽涛即使选择在此时退役加入娱乐圈，不仅是他的自由，也是一条看似可行的道路。
-0.936214921333008	many of the factors outside the court may have a great impact on his thoughts on the future , and he is now more interested in entering the entertainment circle .	场外的许多因素，可能对他对未来的想法产生了很大影响，他现在对进军娱乐圈可能更感兴趣。
-0.9253250248869209	the opening ceremony of the opening ceremony of the opening ceremony of the first olympic games in yunnan province	云南省首届青运会13日开赛开幕式打民族牌展示青春活力
-0.9212211233507509	in fact , this archery player realized that the hype of public relations media and acknowledged hit some young people to say one likely the small plum .	事实上，这位射箭选手察觉到了社交媒体的炒作并承认打小就有人说自己长得像小李子。
-0.912759516560747	in the first book , mr. krugman &apos;s last book on the united states was a chinese food , and ms. zizman told the life story of the slum-tenants by food in her 97 orchard .	科先生的上一本书《炒杂烩菜》是关于美国的中餐，而齐格曼女士在她的《97果园》一书中通过食物讲述了贫民区租客们的生活故事。
-0.9123177558797769	when zhao xiapping submitted the application form for reservation and trading began a preliminary trial of the application materials for the first trial of the application for the application and the environmental impact report on project editions , qingdao city settlement center environmental impact of the construction project , after which .	赵秀平提交了申请表、建设项目环境影响报告书等材料后,青岛市排污权储备和交易服务中心开始对申请材料进行初审。
-0.906334559617343	an indian uncle week at dubai international airport , where he was hit by a plane crash , and this week won a $ 1 million jackpot at the same airport .	印度一名大叔上周刚在迪拜国际机场经历飞机机腹着陆惊魂，本周就在同一座机场中了100万美元大奖。
-0.9024103246514771	integrated two times to check the situation , urumqi tourism law enforcement detachment vice captains ma qi said : “ the first is safety , the second is the norm , the travel of the vehicle is no small matter , once the problem is the group hurt the group of death . ”	综合两次的检查情况，乌鲁木齐市旅游执法支队副支队长马琪说：“第一是安全，第二是规范，旅游车辆无小事，一旦出问题都是群伤群死。”
-0.880568627161037	in the beijing and london olympics to show its absolute dominance after the british cycling team heading to rio in the process make everyone somewhat disappointed .	在北京和伦敦奥运会上展现其绝对统治地位后，英国自行车队在前往里约的过程中让大家略感失望。
-0.878318422800747	in 2012 , she and her teammates were not trusted .	2012年，她和她的队友都不被看好。
-0.8657412537095369	these lenses have the effect of passivation and bending characteristics and produce more than 30 million passing self .	这些透镜具有钝化、弯曲特征的效果，每天产生3000多万张经过修饰的自拍。
-0.8598393636681808	hebei clearly issues a residence permit within 3 working days from the date of admissibility .	河北明确，对符合申领条件、材料齐全的，居住地公安派出所应自受理之日起3个工作日内发放居住证。
-0.857322200007337	the parents &apos; words and actions will affect the child &apos;s growth , and they will imitate their parents , the dragon born dragon , the phoenix born phoenix , the mouse &apos;s son will make holes , the parents what kind of child .	父母的一言一行都会影响到孩子的成长，他们会模仿自己的父母，也就是人们常说的龙生龙，凤生凤，老鼠的儿子会打洞，父母什么样孩子就什么样。
-0.8563491541181291	the feeder , the old edmond river , the northern skating river , and other feeder channels take the way of purely market operation .	白马河、老万福河、北大溜河等支线航道采取的是纯市场化运作的方式。
-0.849027615352193	how to use marcella to protect himself in a gun attack	如何在持枪攻击中使用马伽术保护自己
-0.840280401848986	15 years ago and had watched the beijing opera performances of marisa jimenez card of joe with his daughter watching the show .	１５年前曾观看过京剧演出的玛丽萨·希门尼斯·卡乔陪着女儿看完演出。
-0.8306002655850809	the first youth games in yunnan province of yunnan province , hosted by sports people i will be hosting the games in 13 days at the opening ceremony .	云南省第一届青少年运动会由云南省体育局主办，芒市人民政府承办，运动会将于13日上午举行开幕式。
-0.8304138790884301	fresh fruit is cheap dried fruit instead .	新鲜的水果被便宜的干果所代替。
-0.8279352924033101	the brown &apos;s grotesque , legs , arms and abdomen were wound , they said , but the child was awake on the way to deliver a medical doctor .	他们说，Brown 的腹股沟、腿、胳膊和腹部等部位有多处枪伤，但是孩子在送医途中是清醒的。
-0.821852420500533	the choice and blair and the cameron two male prime ministers two female prime ministers liked the hot place taking vacation to form the contrast .	两位女首相的选择和布莱尔和卡梅伦两位男首相喜欢到较热的地方度假形成了反差。
-0.8211913852255021	parents say that , whether meeting or calling , shen tan was rarely saying his hard and more is to be happy with parents .	父母说，无论是见面还是打电话，张彬彬很少说自己的辛苦，更多的是跟父母聊些开心的事。
-0.814660003603784	in accordance with the terms of reference set out in the terms of reference and in accordance with the terms of reference , the committee will investigate and impose penalties in accordance with the terms of reference .	林全强调，如果政党、附随组织或受托管理人等违反条例所定禁止处分的规定，委员会将依职权调查并“依法”处分、裁罚。
-0.8042171150399008	jane zigman said : &quot; the people who this is for on food with suffered hardships share joys and sorrows . &quot;	珍·齐格曼表示：“这是为了在食物上与正在受苦的人们同甘共苦。”
-0.8020603807023851	the race after 10 minutes , lifan continuous impact , even won the corner kick opportunities , fernando small-angle volley was the national security line of defense blocking out the bottom line .	比赛进行10分钟后，力帆连续冲击中连获角球机会，费尔南多小角度抽射被国安防线挡出底线。
-0.801924280954058	his mother , queen of dragons told reporters , in their hesitation , zhang binbin to the village with several “ novel guest ” on .	其母张小龙告诉记者，就在他们犹豫时，张彬彬找来了同村的几个“小说客”。
-0.801393753719994	what she knows is the us team has obtained four winning streaks at olympic games , and after will have defeated japan the uk team that with the group on 2 : 0 of thursday has not been defeated competes for the group first .	她所知道的是美国队在奥运会上已取得四连胜并且将与小组中在周四以2比0战胜了日本队后未尝败绩的英国队争夺小组第一。
-0.7954935199523551	the features have become a major problem in the presidential campaign .	联邦税已成为总统竞选中的一大问题。
-0.7876591560808142	reid said it was the republican presidential candidate donald trump , the republican nominee , and the &quot; winner &quot; of the republican presidential nominee .	里德说，阻止加兰德提名的共和党人是共和党总统候选人唐纳德·特朗普 (Donald Trump) 的“宠臣”与“成就者”。
-0.7760676824931351	far more than thousands of thousands , the story of greecia is moved by the famous documentary director paula mareda and the exploration of the producer of news channels .	远在千里之外，巨嘴鸟格雷西亚的故事感动了著名纪录片导演葆拉·埃雷迪亚和探索新闻频道制片人约翰·霍夫曼。
-0.775879813493547	they have maintained the record of a record , with absolute superiority .	她们已保持了39场不败纪录，具有绝对的优势。
-0.7716649855850991	middle and lower reaches the same day competition , zhang binbin once placed , seems very remote from the finals .	在当日的比赛中，张彬彬一度排名中下游，似乎距离决赛十分遥远。
-0.7630348866762571	old rejoice , the river flows through channels , with the shanghai , diaoyudao nanyanghu into the grand canal , the main channel of 32.5 kilometers in length .	老万福河航道流经金乡、鱼台,经南阳湖进入京杭大运河主航道,全长32.5公里。
-0.760150049617118	&quot; but individual owners who bought a cell block were afraid to do so would affect their car rental prices and doubted that other people had private hearts , so it was put on hold , &quot; he said .	“但是购买了小区车位的个别业主，怕这样做会影响自己的车位出租价格，也怀疑其他人存有私心，所以一直背后搞破坏，导致车位改造一事被搁置。”
-0.760146580141145	another post pointed to the hotel &quot; really don &apos;t have a face &quot; and pointed out that the main street in the famous kudam street was near a synagogue .	另一个帖子直指酒店“真不要脸”，并且指出这家位于著名的库达姆大街的大街就在一座犹太教会堂附近。
-0.748297793460918	after only four minutes of the race , jerry scored again on the right wing .	比赛仅仅过了四分钟，杰瑞·图怀又在右翼触地得分。
-0.7410575879013209	with the present implementation opinion spirit , inconsistent policies and measures will carry out a concentrated cleanup , the modified seriously modified , the abolition of the resolutely abolished .	对与本实施意见精神不一致的政策措施将进行一次集中清理，该修改的认真修改，该废止的坚决废止。
-0.7351510439405792	fiji seems to be born with seven people making rugby football , and the british team is still a louddle .	斐济人就好像生来就是打7人制橄榄球的，而英国队仍是初出茅庐。
-0.7256693698189149	the audience followed the story of the famous story , the singing of the actors , and sometimes a smile and a warm applause .	观众们跟着《白蛇传》情节的起承转合、演员的唱念做打，时而会心微笑，时而热烈鼓掌。
-0.7184754911543259	a woman was killed and killed on a swiss highway	一名女性在瑞士高速公路上自杀并被辗身亡
-0.7125341595404651	2015 latest monitoring data show that only in jilin province in the territory of the monitoring to the wild tiger 27 , the northeast leopard 42 only .	2015年最新监测数据显示，仅吉林省境内就监测到野生东北虎27只、东北豹42只。
-0.705276655898498	&quot; there are 288 greenfield investments in brazil , compared with 314 years from 2003 to 2014 . &quot;	“在巴西共有288个‘绿地投资’项目，而2003年至2014年的年平均量为314个”。
-0.7032631744810439	at present , doctors have three plates to continue to educate doctors , doctors and doctors for help .	目前医生端开设三个板块，分别为医生继续教育、医生社交和医生求助。
-0.68595322550555	japan &quot; entered often &quot; road to begin in the early 1990s , but was initiated africa that to develop the conference to begin in 1993 by japan similarly , this was not the coincidence !	日本“入常”之路始于上世纪90年代初，而由日本发起的非洲开发会议同样始于1993年，这不是巧合！
-0.681776082730021	tanabata activities by the scene of the young workers of the wide acclaim , have hoped that the company later organized such activities , and more young people to strengthen communication and exchange .	七夕活动受到了现场青年职工们的广泛好评，纷纷希望该公司以后多举办这样的活动，与更多其他的青年加强沟通与交流。
-0.6658545114922989	zhan qixian believes that so long as today also has the party to produce , nobody the society will donate money to you , if the party produces is confiscated to take away entirely , kuomintang just may request that the community support and support , &quot; today had not had really the opportunity to want &quot; .	詹启贤认为，今天只要还有党产，没有人会给你社会捐款，若党产统统被充公收走，国民党刚好可请求社会支持与赞助，“今天真的没有了才有机会去要”。
-0.6589798773605781	but the 24-year-old olympian wasn &apos;t the only gold medal winner in the summer olympics , at least in social media .	但是这位24岁的奥运选手不是本届夏季奥运会上唯一一位撞脸名人的金牌争夺者，至少社交媒体不这样认为。
-0.6550175177560079	recently , zhejiang tongxiang city zheng fu village the lion bang lotus expo officially for the villagers and visitors to open .	近日，浙江省桐乡市正福村狮子浜的荷博园正式对村民和游客开放。
-0.64868411925453	8 : 00 am , stopped approximately 10 to carry the bus of tourist around the kaibinsiji hotel , these vehicles mostly were on the 1st go to tianchi the individual tourist group of tour .	昨天早上八点，在凯宾斯基酒店周围停了约10辆满载游客的大巴车，这些车辆大多都是前往天池一日游的散客团。
-0.6466507058854221	as part of the &quot; cultural exchange year pulling in &quot; key performance project , on august 9-23 , the china national peking in the mexican city of ciudad juárez , córdoba and five city opera performances seven games .	作为“中拉文化交流年”重点演出项目，８月９日至２３日，中国国家京剧院在墨西哥首都墨西哥城以及科尔多瓦、华雷斯等５座城市演出７场京剧。
-0.642129688572943	after the judgment came into force , wang made an application for compulsory execution after he failed to comply with the obligation to determine the sentence .	判决生效后，因李某没有自动履行判决确定的义务，王某向沭阳法院申请强制执行。
-0.623834608859857	friends also often communicate online , &quot; prior to friends because some misunderstandings have not been contacted for some time , later in a large group of conversation in a few words is hot again . &quot;	爱交友的也常用线上交流，“之前跟朋友因为一些误会有段时间没联络了，后来在一个大群里先对话几句才又热络起来。”
-0.6222669387314721	the court found that the &quot; very ridiculous abuse &quot; of the muslim community &apos; s religious feelings , and to the sword of his racial discrimination and the islamic phobia allegations of the allegation .	该法庭发现，拉赫曼“非常可笑地滥用”穆斯林社区的宗教情感，并对剑指他种族歧视和伊斯兰恐惧症的指控闭口不谈。
-0.616942079506517	in the first half , sarkozy showed his ability to pull space on the pitch , and he could shoot the basket out of a three-point line after his teammate &apos;s blockage was removed .	上半场，萨里奇展现出了他在场上拉开空间的能力，通过与队友的挡拆之后，他在三分线外能命中投篮。
-0.604764374362524	is pregnant mother not only to be able free 24 hours to interrogate with the one-to-one head doctor , but can also the payment direction detection seek the medicine to interrogate .	孕妈不仅可以免费24小时和一对一的主管医生问诊，还可以付费定向寻医问诊。
-0.6037974838192329	it was a year - and - a - half years ago , with a broken beak , a dying mouth , and now a new life .	这只一年半前被人折断上喙、奄奄一息的巨嘴鸟，如今终于重获新生。
-0.602101266850541	devon and angela crow of cornwall police authorities indicated that this pursuit continued to defy the renter rule the lessee who to issue the explicit warning to other .	德文郡与康沃尔郡警局的 Angela Crow 表示，此次驱逐向其他继续违抗租户规则的租客发出了明确警告。
-0.6015232668576961	&quot; online looks up this special holiday , therefore decides to come to see , feels very fresh . &quot;	“在网上查到这个特别的节日，所以决定来看看，感到很新鲜。”
-0.59114734563159	marissa himenez kajo , who had watched the peking opera performance 15 years ago , was watching the show with his daughter .	１５年前曾观看过京剧演出的玛丽萨·希门尼斯·卡乔陪着女儿看完演出。
-0.582517273144599	ali &apos;s distribution in health health is divided into three pieces , namely ali health , cat cat pharmaceutical pavilion and the future hospital .	阿里目前在医疗健康领域的布局分为三块，分别是阿里健康、天猫医药馆和支付宝未来医院。
-0.580868516510275	gilead won a lawyer &apos;s lawyer in the competition for the patent of hepatitis c in merck	吉利德在与默克的丙型肝炎专利之争中获得律师费
-0.5792894754021171	the little boy was missing , the little girl threw herself in the water , only to reveal her small head , sinking from time to time in the down , and she jumped to the of the river , who had learned to swim .	眼看着“小男孩已不见了踪影，小女孩在水里拼命扑腾，江面上只露出她的小脑袋，不时往下沉”，小时候学过游泳的黄伊琳急急忙忙地跳下去救人。
-0.5787983353847309	on wednesday , byron macdonald &apos;s fourth comment on the fourth-x-200m freestyle freestyle restoration of women &apos;s 4x200 freestyle relay was irritated by the broadcast of the canadian broadcasting corporation ( cbc ) olympic games on wednesday .	周三，拜伦·麦克唐纳 (Byron MacDonald) 对14岁小将艾衍含获得女子4x200米自由泳接力赛第四名的评论惹怒了收看加拿大广播公司 (CBC) 奥运现场直播的观众
-0.578782593957336	andrada , a spokesman for the rio olympics ( mario andrada ) said : &quot; yesterday afternoon , a diving pool water in alkaline level first tapering . &quot;	里约奥运会发言人安德拉达(Mario Andrada)表示：“昨天午后，跳水池中的水碱性程度首先变弱。”
-0.578663761068927	&quot; i often with chinese tourists are dealing with , saw them to a russian tourist was very happy . &quot;	“我常常与中国旅游者打交道，看到他们来到俄罗斯旅游非常高兴。”
-0.5761225195413101	as the first round of 12 rookie in 2014 , surrey will officially land in the nba next season and join the philadelphia 76 team .	作为2014年的首轮12号新秀，萨里奇将在下赛季正式登陆NBA，并加盟费城76人队。
-0.5715347274441851	prior to this , china &apos; s strategic cultural promotion will be promoted in the past , july 19 , 2013 , july 23 , 2014 and published in the japanese military evaluation report .	此前，中国战略文化促进会先后于2012年6月5日、2013年7月19日、2014年7月23日、2015年6月30日发布过日本军力评估报告。
-0.571026287234099	the report even suggests the coating of unbroken ink on the voter &apos;s fingers to prevent a bouquet of votes .	这份报告甚至建议在选民手指上涂上擦不掉的墨水，防止有人二次投票。
-0.5708923823547281	he said that it would serve as a basis for the commission to clean up the cases of inappropriate party cases in the past , using the experience of mr. huntsman to check the relevant major cases .	他说，由顾立雄担任不当党产委员会主委是不二人选，借用洪培根过去查察相关重大案件的经验，将作为委员会清查相关不当党产案件的基础。
-0.5629698861713149	compared the star to a dancer with a larger dancer spinning faster than a smaller dancer .	雷布尔将恒星比作舞者，体型较大的舞者旋转时的速度慢于体型较小的舞者。
-0.55857178558727	van deder is a professor of law at peking university at peking university , deputy director and secretary-general of the centre for global governance of the university of peking university .	范德尚系北京大学法学博士,北京大学全球治理研究中心副主任兼秘书长,曾任美国康奈尔大学驻北京办公室主任。
-0.5570985281617529	not to mention , compared to the yutian liang , liu xuan , yang wei and other people of power into the body back , ning ze tao if at the age of 23 , a sports career is slightly encounter setbacks on the rapids yong back , to its image caused by the negative impact is probably immeasurable .	更何况，相比于田亮、刘璇、杨威等人的功成身退，宁泽涛若在23岁、运动生涯稍遇挫折就急流勇退，对其形象造成的负面影响大概也是不可估量。
-0.5559131657759511	but the australian athletes were sharp in the eye after winning the game with the japanese team in the water ball pool .	但是澳大利亚运动员在与日本代表队在水球池进行比赛获得胜利之后表示，眼睛感到刺痛。
-0.552580024745334	the case dates back to 2013 , when geely and charged each other with each other , both of whom claimed to be the effective component of &apos; s laboratory work .	该案最早要追溯到2013年，当时吉利德和默克互相起诉对方，双方都声称自己是吉利德药物中的有效成分 —— 索非布韦的实验室工作的所有者。
-0.544460079055346	however , from 10 years ago , junichiro koizumi , 10 years later , abe , during which japan has repeatedly launched the &quot; sprint , &quot; has failed .	不过，从10年前的小泉纯一郎，到10年后的安倍，其间，日本曾多次发起的入常“冲刺”，却均铩羽而归。
-0.544203610356548	the company is located in the old city of qingdao in the end of last year was completely cut off , the environmental move to the level of the new plant area .	该企业位于青岛老城区的厂区去年年底全面停产,环保搬迁至平度的新厂区。
-0.541907569929722	recently , the beijing temporary residence permit regulations put in place rules , which means &quot; residence &quot; will be upgraded to &quot; residence &quot; .	近日,北京《居住证暂行条例》实施细则出台,这意味着“暂住证”将升级为“居住证”。
-0.540157285118831	, a lawyer at , told the geneva forum that criminal investigations were now under way and that this was the routine process of such events .	吉勒斯·霍夫施泰特尔律师向《日内瓦论坛报》表示，目前已开始进行刑事调查，这是此类事件的常规流程。
-0.533632192164865	to complement public sports facilities	补齐公共体育设施短板
-0.533047239247211	they met a reporter in &apos; s sandwich shop after showing some food . the simple lunch counter in the iron area has been open since 1929 .	在展示了一些食物方面的共同见解后，他们在艾森博格的三明治店中遇到了一名记者。这个位于熨斗区的简单午餐柜台自1929年经济奔溃时起一直营业到现在。
-0.532755518614693	the northeast tiger is now listed as endangered ( en ) species in endangered species of endangered species .	东北虎，目前被世界自然保护联盟(IUCN)濒危物种红色名录列为濒危(EN)物种。
-0.530658890689846	first of all , go to capacity is not simple to carry out total control .	首先，去产能不是简单的进行总量控制。
-0.5287213247097999	the clashes in the conflict on 4 august were also inconclusive , and the other drivers of the two drivers were smashed in their homes on 11 august . &quot;	“8月4日的冲突警方还没有调查结果，8月11日零时许，另外两名司机的出租车在住处又被打砸了。”
-0.520415172936885	it &apos;s also that calderk scored in the premier league start-up tournament , with a 2 : 0 lead .	这也是卡尔德克在中超首发的赛事中就取得入球，力帆2:0领先。
-0.517467725603159	but for those who have experienced racist observers , the filter reminds them of the reality of a nuisance stereotypes .	但对于经历过种族主义的观察者而言，该滤镜让他们想起了现实中具有伤害性的刻板印象。
-0.513835913129	it is really important not to be affected by your opponent .	不被对手所影响的确非常重要。
-0.513192383072819	the &quot; bridge fan &quot; , which is located near the three bridgeheads of the bridge , is now close to completion , and the project is the first of its kind led by a bridge .	位于每座大桥三个桥头堡附近的四处“桥面风机”合龙现已接近竣工，而该项目为首个合龙的大桥。
-0.5123004317747	in mid-august , hitachi will organize two research teams to participate in the municipal research and prepare for the topic and prepare for the topic .	8月中旬，常委会将组织两个调研组赴部分市开展调研，为专题询问作准备。
-0.510769865452484	when the defendant filed for the defendant was attempted by the accused , did not result in the crime , the guilty attitude is better , and suggested that it should be given the opinion of the lighter punishment .	对于辩护人提出的被告人被抓时系未遂犯、未造成后果，认罪态度较好，建议对其从轻处罚的意见予以采纳。
-0.508529369013636	as the price rises again , worry from all walks of life produces : a number of can small coal mines resume work duplicate produce ?	随着价格回升，各界担心随之产生：一批小煤矿会不会复工复产？
-0.49432237483496005	15 years ago once watched melissa jimenez who peking opera has performed qiao pei the daughter is watching the performance .	１５年前曾观看过京剧演出的玛丽萨·希门尼斯·卡乔陪着女儿看完演出。
-0.488936726952391	the geneva tribune has started criminal investigations to the geneva tribune , which is a conventional process of such events .	吉勒斯·霍夫施泰特尔律师向《日内瓦论坛报》表示，目前已开始进行刑事调查，这是此类事件的常规流程。
-0.488539629254452	this is the u. s. defense secretary carter , the us secretary of state , john kerry , japanese foreign minister kishida male paper and japanese defense minister gu yuan in new york to attend the press conference .	这是当日美国国防部长卡特、美国国务卿克里、日本外务大臣岸田文雄和日本防卫大臣中谷元在纽约出席新闻发布会。
-0.48700488734821507	people who spontaneously , and are doing their best to try to help as much as possible before the injury recovery gracia &apos;s life .	人们自发前来，尽最大努力帮助格雷西亚尽可能恢复受伤前的生活。
-0.48222929725811	although the 76 people are now hoarding a lot of talented young players , they do not have an outside line .	虽然目前这支76人的内线囤积了不少有天赋的年轻球员，但是他们并不具备萨里奇的外线能力。
-0.481845959716636	vogue police say a woman is lying on the highway late at night and has been tossed over by cars .	沃州警方表示，一名女性在深夜“绝望地”躺在公路上并且被多辆车辗过。
-0.475566005234002	huang lin is a student at the university of central and south china school of landscape landscape .	黄伊琳是中南林科大风景园林学院2015级的学生。
-0.46735828669502794	the haikou maritime court puts on record to guarantee that before dawn the linkao fishing boat submerges the event litigant rights	海口海事法院凌晨立案确保临高渔船沉没事件当事人权益
-0.46505609375538	peanut oil and baked onions simply can not match .	花生油与烤洋葱根本无法搭配。
-0.464992572249443	what she knows is that the united states had achieved four winning at the olympic games and will compete for the first team on thursday .	她所知道的是美国队在奥运会上已取得四连胜并且将与小组中在周四以2比0战胜了日本队后未尝败绩的英国队争夺小组第一。
-0.456990504464635	next year will mark the fifth anniversary of the establishment of diplomatic relations between china and mexico , where more cultural exchanges will be held in china and mexico .	明年是中墨两国建交４５周年，届时将会有更多文化交流活动在中墨两国举办。
-0.454713364573239	the reporter ordered a piece of baking , which couples think these dishes are suitable for discussing the diet during the depression .	记者点了一份烘肉卷，这对夫妻认为这些菜适合讨论大萧条时期的饮食。
-0.45390917060946206	cbc then copied their apologies to more than 90 other twitter users who protested the interpretation of byron	CBC 之后将他们的道歉复制粘贴给了其他90多位抗议拜伦解说的推特用户
-0.451963344399475	although the current team of 76 men inside to stock up on a lot of talented young players , but they don &apos;t have the capacity to saric outside .	虽然目前这支76人的内线囤积了不少有天赋的年轻球员，但是他们并不具备萨里奇的外线能力。
