0.34937092778329654	The Sultan appoints judges, and can grant pardons and commute sentences.	Der Sultan ernennt Richter und kann Begnadigungen und Pendelstrafen gewähren.
0.5615210045810141	Frustrated at the dismissal of former President Nathan B.	Frustriert über die Entlassung des ehemaligen Präsidenten Nathan B.
-0.4094340763115753	Most of his inscriptions began with invocations to Shiva.	Die meisten seiner Inschriften begannen mit Anrufen an Shiva.
-0.1780330086151746	It campaigned Ford Fusions with Hermie Sadler driving.	Es Kampagnen Ford Fusions mit Hermie Sadler fahren.
-0.8494474905520563	The storyline ended with Carla managing to untie herself and escaping but Tony perishing in the blaze.	Die Handlung endete mit Carla gelingt es, sich zu lösen und zu entkommen, aber Tony in der Flamme zugrunde gehen.
0.5390209576417347	Duarte Pacheco and his troops went back on their longboats.	Duarte Pacheco und seine Truppen fuhren auf ihren Langbooten zurück.
-0.3762750806842475	The University of Regina Cougars coach swimmers who compete in Canadian Interuniversity Sport.	Die University of Regina Cougars Trainer Schwimmer, die im kanadischen interuniversitären Sport konkurrieren.
-0.7548784994066454	A Soldier's Best Friend; Scout Dogs and their Handlers in the Vietnam War.	Ein bester Freund eines Soldaten; Pfadfinderhunde und ihre Handler im Vietnamkrieg.
0.3840243578829925	Gunther agrees and the Burgundians and their vassals arrive at Etzel's court.	Gunther stimmt zu und die Burgunder und ihre Vasallen kommen am Hof von Etzel an.
0.2517613323547564	On 11 June, the besiegers began the bombardment with their great guns, some of the shots from which weighed 17, 19, 24, and 31 lbs.	Am 11. Juni begannen die Belagerer die Bombardierung mit ihren großen Geschützen, von denen einige 17, 19, 24 und 31 lbs wogen.
0.8571031628290142	He immediately nominated Damien and Kyra for eviction.	Er ernannte Damien und Kyra sofort zur Räumung.
0.3200126685071664	General Gerd von Rundstedt, the commander of Army Group A, also disagreed with it.	Auch General Gerd von Rundstedt, Kommandeur der Heeresgruppe A, stimmte ihr nicht zu.
0.45786689063601577	Han Fei gained new prominence with favourable citations.	Han Fei gewann neue Bekanntheit mit günstigen Zitaten.
0.6119950896612142	They first attacked Arsuf, which surrendered without resistance on 29 April, securing a safe passage for the townspeople to Ascalon.	Sie griffen zuerst Arsuf an, der sich am 29. April widerstandslos ergeben hatte, um den Stadtbewohnern einen sicheren Durchgang nach Ascalon zu sichern.
0.9139842912809234	They consist of a row of nephrons, each emptying directly into the mesonephric duct.	Sie bestehen aus einer Reihe von Nephonen, die sich jeweils direkt in den mesonephrischen Kanal entleeren.
0.29651353056224605	The arc formed by the subduction of the Gorda and Juan de Fuca plates at the Cascadia subduction zone.	Der Bogen durch die Subduktion der Gorda und Juan de Fuca Platten in der Cascadia Subduktionszone gebildet.
0.49675521839515935	Between 30 March and 24 April, she cruised in the central Baltic and in the waters around Rügen.	Vom 30. März bis 24. April fuhr sie in der zentralen Ostsee und in den Gewässern um Rügen.
0.5353008845188955	Dumplings symbolize wealth because their shape resembles a Chinese sycee.	Knödel symbolisieren Reichtum, weil ihre Form einem chinesischen Sycee ähnelt.
0.007923638856456064	Together with Goldar, he defects from Lord Zedd to join Ivan Ooze, when Ivan imprisons Lord Zedd and Rita Repulsa in a snowglobe.	Zusammen mit Goldar mangelt es ihm an Lord Zedd, sich Ivan Ooze anzuschließen, als Ivan Lord Zedd und Rita Repulsa in eine Schneekugel einsperrt.
-0.4809855995640124	Wolves may encounter striped hyenas in Israel, Central Asia and India, usually in disputes over carcasses.	Wölfe können gestreiften Hyänen in Israel, Zentralasien und Indien begegnen, in der Regel in Streitigkeiten um Schlachtkörper.
0.6135579799087675	In some cases, the aphids secrete the honeydew in response to ants tapping them with their antennae.	In einigen Fällen sezernieren die Blattläuse den Honigtau als Reaktion auf Ameisen, die sie mit ihren Antennen abklopfen.
-0.41456706421835027	Lynchings against individual blacks averaged about one a week across the south.	Lynchings gegen einzelne Schwarze im Durchschnitt etwa eine Woche über den Süden.
-0.5095233947988426	Rivers and lakes are populated with pike, walleye, whitefish, rainbow, speckled, brown trout, and sturgeon.	Flüsse und Seen sind mit Hecht, Walleye, Weißfischen, Regenbogen, gesprenkelten, Bachforellen und Stör besiedelt.
0.5642511495727143	In the past clarinetists used to wrap a string around the mouthpiece and reed instead of using a ligature.	Früher wickelten Klarinettisten eine Schnur um das Mundstück und das Rohr, anstatt eine Ligatur zu verwenden.
0.630633793364786	1990 John Meurig Thomas, New microcrystalline catalysts.	1990 John Meurig Thomas, Neue mikrokristalline Katalysatoren.
-0.617648662988409	He also brought the Ancients and Moderns quarrel into English with his Reflections on Ancient and Modern Learning.	Mit seinen Reflections on Ancient and Modern Learning brachte er auch den Streit der Ältesten und Modernen ins Englische.
0.679911540026419	On 19 July, the Privy Council proclaimed Mary queen to the acclamation of the crowds in London.	Am 19. Juli proklamierte das Privy Council Mary Queen zur Akklamation der Menschenmenge in London.
-0.5097029245489432	"Josh Schwartz characterized the later Luke as ""strumming a guitar being a goofball."""	"Josh Schwartz bezeichnete den späteren Lukas als ""Gitarre schrumpfen als Goofball""."
0.5141682601250082	The familiar invertebrate groups including bryozoans, cephalopods, corals, gastropods, and pelecypods were all present.	Die bekannten wirbellosen Gruppen, darunter Bryozoane, Kopffüßer, Korallen, Astropoden und Pelecypoden, waren alle anwesend.
0.5791651177986161	Powell resigned from the Union Army on January 5, 1865.	Powell trat am 5. Januar 1865 aus der Gewerkschaftsarmee zurück.
0.6094609946915016	About , the notarized testament in Monein de Ramon de Forcade, Priest.	Über das notariell beglaubigte Testament in Monein de Ramon de Forcade, Priester.
0.6653198810043642	Aleksandr Ezhevsky, 101, Soviet engineer and statesman.	Alexander Eschewski, 101, sowjetischer Ingenieur und Staatsmann.
0.5073670731413688	A British historical drama starring Marlene Dietrich and Robert Donat, with Dietrich as an imperiled aristocrat on the eve of the Russian Revolution.	Ein britisches historisches Drama mit Marlene Dietrich und Robert Donat, mit Dietrich als gefährdeter Aristokrat am Vorabend der russischen Revolution.
0.3699476268700587	Notable dishes in the state include Sarawak laksa, kolo mee, and ayam pansuh.	Zu den bemerkenswerten Gerichten im Staat gehören Sarawak laksa, kolo mee und ayam pansuh.
0.010440943387787319	Hotel Monte Ne and Missouri Row both featured porches 575 ft long.	Hotel Monte Ne und Missouri Row beide mit Veranda 575 ft lang.
0.1823986602095021	177 Gene Rowe Tennessee Luney Honeymoon / Memory From The Past 1954	177 Gene Rowe Tennessee Luney Honeymoon / Erinnerung aus der Vergangenheit 1954
0.48742513972692647	The Indians fired back at the sailors with musket balls loaded in cannon on the shore.	Die Indianer feuerten zurück auf die Matrosen mit Muskettbällen, die in Kanonen am Ufer geladen waren.
0.6015962043616309	Juliette comes back to Nashville and reconnects with Avery and Cadence.	Juliette kommt zurück nach Nashville und verbindet sich wieder mit Avery und Cadence.
0.4840200357934137	resuscitation practices, tracheal intubation, and the administering of medication.	Wiederbelebungspraktiken, tracheale Intubation und die Verabreichung von Medikamenten.
-0.4467365914344648	In 2014, after storms and heavy rain, a landslip caused the road between Ventnor and Niton to collapse.	Nach Stürmen und starkem Regen brach 2014 die Landrutsche zwischen Ventnor und Niton zusammen.
0.6587570591838197	When Patrizia wakes up from her coma, she fools Leonard that Mila is his and tries to get Leonard back.	Als Patrizia aus ihrem Koma aufwacht, täuscht sie Leonard, Mila sei sein und versucht, Leonard zurückzuholen.
0.44856413412085755	Castell Y Bere's starving garrison would eventually surrender on 25 April.	Castell Y Beres hungernde Garnison würde sich schließlich am 25. April ergeben.
0.323466083322192	"He boasted to Texian Army commander Sam Houston that the Texians could ""whip 10 to 1 with our artillery""."	"Er prahlte dem Texian Army Kommandanten Sam Houston, dass die Texianer ""10 zu 1 mit unserer Artillerie peitschen"" könnten."
0.676302617109167	Rumours abounded that Bokassa himself occasionally participated in beatings and executions.	Gerüchten zufolge beteiligte sich Bokassa selbst gelegentlich an Schlägen und Hinrichtungen.
0.6120646478869767	Colonel Sweet reinstated Colonel Strong as commander of the garrison.	Colonel Sweet setzte Colonel Strong wieder als Kommandant der Garnison ein.
0.5750872023238266	On 19 June, the regiment experienced its first fatality when Trooper Vincent Thompson died of meningitis.	Am 19. Juni erlebte das Regiment sein erstes Todesopfer, als Trooper Vincent Thompson an Meningitis starb.
0.37962522333302906	Others were scalped, dismembered, and cannibalized.	Andere wurden skalpiert, zerstückelt und kannibalisiert.
0.504457062900748	Several hundred rioters ransacked the Singapore embassy in Jakarta and the homes of Singaporean diplomats.	Mehrere hundert Randalierer durchwühlten die Botschaft Singapurs in Jakarta und die Häuser singapurischer Diplomaten.
0.5625572502748833	XXI Bomber Command followed up the firebombing of Tokyo with similar raids against other major cities.	XXI Bomber Command folgte der Bombardierung Tokios mit ähnlichen Angriffen auf andere Großstädte.
-0.4578736468126247	It appears we’re stuck, happily, with this furry goodwill ambassador.	Es sieht so aus, als ob wir mit diesem pelzigen Botschafter des guten Willens zufrieden waren.
0.588908561219378	The Squadron attacked towards Baghdad fighting both the Republican Guard and the Sadam Fedayeen.	Das Geschwader griff Bagdad an und kämpfte sowohl gegen die Republikanische Garde als auch gegen die Sadam Fedayeen.
0.5158428992697227	It sufficed, however, to demonstrate his credentials as a medievalist in the eyes of his contemporaries.	Es genügte jedoch, in den Augen seiner Zeitgenossen seine Anerkennung als Medivalist zu demonstrieren.
-0.09816491885985452	Furthermore, norepinephrine transporter knockout in mice models increases their tolerance to stress, implicating norepinephrine in depression.	Darüber hinaus erhöht Norepinephrin Transporter Knockout in Mäusemodellen ihre Toleranz gegenüber Stress, was Norepinephrin in Depressionen.
0.33621323978338546	His soldiers celebrated his victories with grand parades around the Carrousel.	Seine Soldaten feierten seine Siege mit großen Paraden rund um den Karussell.
0.5111083261416366	A single barge carries the equivalent of 15 railcars and on the Lower Mississippi some tows handle up to 40 plus barges.	Ein einziger Lastkahn trägt das Äquivalent von 15 Triebwagen und auf dem Unteren Mississippi halten einige Schlepper bis zu 40 plus Lastkähne.
0.43439424430115686	In April, former Pakistan Test cricketer Mohsin Kamal replaced Chappell as coach.	Im April ersetzte der ehemalige Pakistan Test Cricketer Mohsin Kamal Chappell als Trainer.
-0.8998254429519275	In household cult, the paterfamilias functioned as priest, and members of his familia as acolytes and assistants.	Im häuslichen Kult fungierten die Paterfamilien als Priester und Mitglieder seiner Familie als Assistenten.
0.505442179631116	Later, he joins the Thunderbolts in their efforts to assassinate Moon Knight.	Später schließt er sich den Thunderbolts in ihren Bemühungen an, Mondritter zu ermorden.
0.5739429120383509	That afternoon, he backtracked 60 mi westward to Lake City.	An diesem Nachmittag zog er 60 Meilen westwärts nach Lake City zurück.
0.676302617109167	Soon Kandy revolted and the Portuguese army retreated to Mannar.	Bald rebellierte Kandy und die portugiesische Armee zog sich nach Mannar zurück.
0.6461932909847149	"Thompson called Stuckey ""a rich playboy"" who ""socializes with the Kennedy crowd in Washington""."	"Thompson nannte Stuckey ""einen reichen Playboy"", der ""mit dem Kennedy-Publikum in Washington sozialisiert""."
-0.03189696552613375	On November 24, 2000, Pérez teamed with Steve Corino to defeat Laureano and Yoshihiro Tajiri.	Am 24. November 2000 schlug Pérez gemeinsam mit Steve Corino Laureano und Yoshihiro Tajiri.
0.338111662094092	In the Bahamas, the anemometer at Ragged Island blew away after registering a 150 mi/h wind gust.	Auf den Bahamas wehte das Anemometer auf Ragged Island nach der Registrierung einer 150 mi / h Windböe weg.
0.4854545330266708	This provoked a backlash from the Montagnards, some joining the NLF as a result.	Dies provozierte eine Gegenreaktion von den Montagnards, von denen einige der NLF beitraten.
0.2772218589083349	Hinde claimed that M'Intosh recounted that American Indians and Welshmen living on the Mississippi River were conversing in Welsh in the late 1700s.	Hinde behauptete, M 'Intosh erzähle, dass amerikanische Indianer und Welshmen, die auf dem Mississippi leben, in den späten 1700er Jahren in Walisisch sprachen.
-0.2835424470606283	On 10 January 1967, Wallace L. Lind departed the Destroyer and Submarine Pier, Norfolk, and commenced a Mediterranean tour.	Am 10. Januar 1967 verließ Wallace L. Lind den Destroyer and Submarine Pier, Norfolk, und begann eine Mittelmeertour.
0.5697996683099866	Paralleling the coast, Newton steadily intensified.	Parallel zur Küste intensivierte sich Newton stetig.
0.29181486158324205	He served patrolling the coast of West Africa guarding against slavers.	Er diente dazu, die Küste Westafrikas vor Sklaven zu beschützen.
-0.1634673326335431	However, she withdrew from the tournament before it began, citing a collarbone injury.	Jedoch zog sie sich aus dem Turnier zurück, bevor es begann, unter Berufung auf eine Kollarknochenverletzung.
0.5257166501533089	Schurz, now considered a Liberal Republican ringleader, advocated full amnesty for former Confederates.	Schurz, der heute als liberaler republikanischer Anführer gilt, befürwortete eine vollständige Amnestie für ehemalige Konföderierte.
0.5223720920403404	Powhatan Henry Clarke, K Troop, 10th Cavalry Regiment during the pursuit of Geronimo in May 1886.	Posowan Henry Clarke, K Truppe, 10. Kavallerie Regiment während der Verfolgung von Geronimo im Mai 1886.
-0.1081495977038176	The coureurs des bois and the soldiers borrowed canoes and moccasins.	Die Coureurs des bois und die Soldaten borgten sich Kanus und Mokassins.
0.3024998444743354	For example, assemblé, pas de bourrée, and glissade can be designated as under or dessous.	Zum Beispiel Assemblé, Pas de Bourrée und Glissade können als unter oder dessous bezeichnet werden.
0.3093782602637348	DNA replication Prokaryotic DNA replication Processivity	DNA-Replikation Prokaryotische DNA-Replikation Prozess
0.5203047080863361	He greets the executioner and asks him where he his from.	Er grüßt den Henker und fragt ihn, woher er kommt.
0.5308380435757701	Fore River also constructed the battleship , and the cruisers and as well as the Navy's first carrier and its successor .	Fore River baute auch das Schlachtschiff und die Kreuzer sowie den ersten Träger der Marine und seinen Nachfolger.
0.611722987476916	Captain Robert Cunliffe relieved Talbott on 22 August.	Captain Robert Cunliffe entlastet Talbott am 22. August.
0.6119950896612142	Today, some Kibbutzim operate major industrial ventures.	Heute betreiben einige Kibbutzim große Industrieunternehmen.
0.3355735417641527	She arrives in the Land of Ev, where a trio of Wheelers rudely wakes her up and accuses her of being a witch.	Sie kommt im Land Ev an, wo ein Trio von Wheelers sie rücksichtslos weckt und beschuldigt, eine Hexe zu sein.
0.46691575913072586	In June 2011, the Afghan National Army returned the loaned C7 rifles as the ANA preferred the American M16 rifle.	Im Juni 2011 gab die afghanische Nationalarmee die ausgeliehenen C7-Gewehre zurück, da die ANA das amerikanische M16-Gewehr bevorzugte.
0.39160145816709635	After successfully escorting the convoys, Wichita returned to Hvalfjörður, arriving on 6 May.	Nach erfolgreicher Begleitung der Konvois kehrte Wichita am 6. Mai nach Hvalfjörður zurück.
0.7130990205385737	Council of Association of Polish Writers convenes in Warsaw, electing Józef Szczepański as president, December 29.	Der Rat der Assoziation polnischer Schriftsteller tritt am 29. Dezember in Warschau zusammen und wählt Józef Szczepański zum Präsidenten.
-0.7500400185569047	Interpreting Serials, in his The Limits of Interpretation, pp.	Interpreting Serials, in seinem The Limits of Interpretation, pp.
-0.5877177878627489	"He would often refer to these jaunts as his ""cruising""."	"Er würde diese Schnäppchen oft als seine ""Kreuzfahrt"" bezeichnen."
-0.7832074835672244	During the absolution, the Libera me, Domine is sung while the priest incenses the coffin and sprinkles it with holy water.	Während der Absolution, der Libera me, wird Domine gesungen, während der Priester den Sarg räuchert und mit heiligem Wasser bestreut.
0.6984021907581731	They won the 2010 NRL Grand Final against the Sydney Roosters.	Sie gewannen das NRL Grand Final 2010 gegen die Sydney Roosters.
0.6296862146365966	On 18 August 1780, whilst at the Post House in Pyritz, Corry wrote a very brief codicil, later referred to as the second or Pyritz Codicil.	Am 18. August 1780 schrieb Corry in der Post in Pyritz einen sehr kurzen Code, der später als zweiter oder Pyritz Codicil bezeichnet wurde.
0.35601781204035543	In 2012 Kiplinger's Personal Finance ranked Kalamazoo fourth of the Ten Best Cities for Cheapskates.	Im Jahr 2012 belegte Kiplingers Personal Finance Kalamazoo den vierten Platz unter den zehn besten Städten für Cheapskates.
0.8923394985226271	Instead of revering the divine, Renaissance artists honoured themselves, arrogantly celebrating human sensuousness.	Anstatt das Göttliche zu verehren, ehrten sich Renaissancekünstler und feierten arrogant menschliche Sinnlichkeit.
0.5855640031064093	Communal shelters never housed more than one seventh of Greater London residents.	In kommunalen Schutzhäusern waren nie mehr als ein Siebtel der Bewohner des Großraums London untergebracht.
0.3551876162562764	"The ""Krüger"" primer utilizes the partial SSU, the ITS, and the partial LSU regions, while the ""Redecker"" primer utilizes the partial SSU and the ITS."	"Die ""Krüger"" -Grundierung nutzt die partielle SSU, die ITS und die partielle LSU-Region, während die ""Redecker"" -Grundierung die partielle SSU und die ITS nutzt."
0.17853541907524453	He would consume entire lamb chops, bone and all, to the disgust of his fellow diners.	Er würde ganze Lammkoteletts, Knochen und alle verzehren, zum Abscheu seiner Landsleute.
0.35900903209283724	Disputed environmental reasons for evicting Romani settlements	Umstrittene Umweltgründe für die Räumung romanischer Siedlungen
-1.056529514658109	Roman Army Researches Band 12), Steiner, Stuttgart, 2000, .	Roman Army Researches Band 12), Steiner, Stuttgart, 2000,.
-1.2463491153034516	Upon Frank's vehement declaration of innocence, and the Justice’s sympathetic acquittal, Morris abandons his suit against Frank.	Nach Franks vehemente Erklärung der Unschuld, und die Gerechtigkeit sucht sympathischen Freispruch, Morris verzichtet auf seine Klage gegen Frank.
-0.9031156083565713	There, Alison discovers that Emily's donated eggs were fertilized and implanted inside her uterus.	Dort entdeckt Alison, dass Emily 's gespendete Eier befruchtet und in ihre Gebärmutter implantiert wurden.
-0.1701545610400561	The teeth of spur gears clatter together when the gears spin, generating a characteristic whine.	Die Zähne der Zahnräder klatschen zusammen, wenn die Zahnräder drehen, was ein charakteristisches Weinen erzeugt.
0.24927788409501175	Similar to ants, cockroaches leave chemical trails in their faeces as well as emitting airborne pheromones for swarming and mating.	Ähnlich wie Ameisen hinterlassen Kakerlaken chemische Spuren in ihrem Kot und emittieren luftgetragene Pheromone für Schwärmen und Paarung.
-0.23069252219020941	"Mustered in as ""mate"" November 27, 1861, with Captain Henry Mulrenan's Florida Volunteer Coast Guards."	"Mustered in als ""mate"" 27. November 1861, mit Captain Henry Mulrenan 's Florida Volunteer Coast Guards."
-1.7778332775621173	In Brittany, Duke Conan III declared his son Hoël a bastard and disinherited him on his deathbed in 1148.	In der Bretagne erklärte Herzog Conan III. seinen Sohn Hoël zum Bastard und vererbte ihn 1148 auf seinem Sterbebett.
0.5782503914679895	In the immediate aftermath, Rotterdam surrendered.	Unmittelbar danach kapitulierte Rotterdam.
-1.05200882909258	Hitting the enemy with another burst from 200 yards the Bf 109 burst into flames.	Hitting den Feind mit einem anderen Burst von 200 Metern die Bf 109 in Flammen platzen.
-0.2237799485784896	Gasquet underwent groin hernia surgery on 18 January.	Gasquet unterzogen Leistenbruch Chirurgie am 18. Januar.
-0.5499627696242883	In July 1950, however, the United States Court of Appeals for the District of Columbia overruled Denham's order.	Im Juli 1950 entschied jedoch das Berufungsgericht der Vereinigten Staaten für den District of Columbia Denham 's Befehl nicht.
-0.6175350535722902	Originally published by Macmillan Press Ltd., 1972) Trooping the Colour.	Ursprünglich herausgegeben bei Macmillan Press Ltd., 1972) Trooping the Colour.
-0.421167155381816	The embodiment of castration, Ashley wears the head of Medusa on his cravat pin.	Die Verkörperung der Kastration, Ashley trägt den Kopf der Medusa auf seinem cravat pin.
-0.3787720935958299	Killer Croc appears in Son of Batman, voiced by Fred Tatasciore.	Killer Croc erscheint in Sohn von Batman, geäußert von Fred Tatasciore.
0.7112046814287348	At first, the Fore distrusted and feared the colonial forces.	Zunächst misstraute und fürchtete die Fore die Kolonialmächte.
0.9771762023469924	So until 1937/1938 many presbyteries in Berlin congregations lost their German Christian majority by mere absenteeism.	So verloren bis 1937 / 1938 viele Presbyterien in Berliner Gemeinden ihre deutsche christliche Mehrheit durch bloße Abwesenheit.
0.6087865699188039	The Notitia also suffers from significant lacunae and numerous errors accumulated from centuries of copying.	Die Notitia leidet auch an erheblichen Lücken und zahlreichen Fehlern, die sich aus Jahrhunderten des Kopierens angesammelt haben.
-3.9872505436297607	"2, July 1948 ""Zorro Shears Some Wolves"", West Magazine Vol."	"2, Juli 1948 ""Zorro Shears Some Wölfe"", West Magazine Vol."
0.39991303120644117	Annual influenza vaccinations in those with COPD reduce exacerbations, hospitalizations and death.	Jährliche Grippeimpfungen bei Patienten mit COPD reduzieren Verschlimmerungen, Krankenhausaufenthalte und den Tod.
-0.15157295822605674	Bursuq chose to retreat and the crusader rulers dispersed.	Bursuq entschied sich für den Rückzug und die Kreuzfahrer Herrscher zerstreut.
0.234408956887017	The ascetic is a wandering mendicant in the Digambara tradition, or a resident mendicant in the Śvētāmbara tradition.	Der Asket ist ein wandernder Mendiant in der Digambara Tradition, oder ein ansässiger Mendiant in der Śvētāmbara Tradition.
-1.3391002931109703	I./KG 1 persisted with attacks on airfields attacking RAF Horsham St Faith and RAF West Raynham on 27 and 29 October.	I. / KG 1 setzte sich am 27. und 29. Oktober mit Angriffen auf Flugplätze fort, die RAF Horsham St. Faith und RAF West Raynham angriffen.
-0.28587082960470456	Most of the Bataks who came before World War 2 worked as gardeners, peons and manual labourers.	Die meisten Bataks, die vor dem 2. Weltkrieg kamen, arbeiteten als Gärtner, Peons und Handwerker.
0.6393626424056846	"and ""Americans and Blacks cannot govern themselves."	"und ""Amerikaner und Schwarze können sich nicht selbst regieren."
0.4954656122105976	The four ventricles, two lateral, a third, and a fourth ventricle, all contain choroid plexus that produces cerebrospinal fluid.	Die vier Herzkammern, zwei seitliche, eine dritte und eine vierte Herzkammer, alle enthalten Choroidplexus, die zerebrospinale Flüssigkeit produziert.
0.37076028505897646	Rebellions occurred even by Dominican freedmen, while Dominicans and Haitians worked together to oust Boyer from power.	Rebellionen ereigneten sich sogar bei Dominikanern, während Dominikaner und Haitianer zusammenarbeiteten, um Boyer von der Macht zu verdrängen.
0.00784684015162962	He attributed the drought to massive deforestation.	Er verwies die Dürre auf massive Entwaldung.
0.49747607299482155	Walter Corry became a cornet in the Dragoons of the Cromwellian army.	Walter Corry wurde ein Kornett in den Dragonen der cromwellianischen Armee.
-0.5159169823766269	In 1921, a booby trap bomb mailed to the American ambassador in Paris exploded, wounding his valet.	1921 explodierte eine Sprengfalle, die an den amerikanischen Botschafter in Paris geschickt wurde, und verwundete seinen Valet.
-0.24842443718072613	He then helped Ironhide finish off Crowbar and Crankcase in a Mexican Standoff, as Sideswipe called it.	Dann half er Ironhide, Crowbar und Crankcase in einem mexikanischen Standoff zu beenden, wie Sideswipe es nannte.
0.44301814432795433	The besieged languished as the Emperor waited for them to surrender from starvation.	Die Belagerten schmachteten, als der Kaiser darauf wartete, dass sie sich vor Hunger ergeben.
-0.43496825727318766	Quinn criticized the Canucks organization for not yet retiring Bure's jersey.	Quinn kritisierte die Canucks Organisation für noch nicht im Ruhestand Bure 's Trikot.
0.5156635514171696	By 2011, over 120 pairs nested on the small islet.	Bis 2011 nisteten über 120 Paare auf der kleinen Insel.
